annotation_id,annotator,created_at,id,lead_time,review,sentiment,updated_at
,,,,,,,
1,1,2026-02-10T17:53:08.478066Z,1,8.413,This movie is a triumph in every sense. Highly recommended for everyone.,Positive,2026-02-10T17:53:08.478066Z
,,,,,,,
2,1,2026-02-10T17:53:21.109379Z,2,11.542,I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.,Negative,2026-02-10T17:53:21.109379Z
,,,,,,,
3,1,2026-02-10T17:53:30.425341Z,3,9,I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.,Positive,2026-02-10T17:53:30.425341Z
,,,,,,,
4,1,2026-02-10T17:54:05.432746Z,4,34.71,The trailer was better than the movie. The acting was frankly tedious. A complete misfire.,Negative,2026-02-10T17:54:05.432746Z
,,,,,,,
5,1,2026-02-10T17:54:14.318519Z,5,8.601,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.",Neutral,2026-02-10T17:54:14.318519Z
,,,,,,,
6,1,2026-02-10T17:54:26.303027Z,6,11.712,It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,2026-02-10T17:54:26.303027Z
,,,,,,,
7,1,2026-02-10T17:54:35.533651Z,7,8.943,I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.,Negative,2026-02-10T17:54:35.533651Z
,,,,,,,
8,1,2026-02-10T17:54:43.936850Z,8,8.115,Nothing about the acting worked. What a complete waste of potential.,Negative,2026-02-10T17:54:43.936850Z
,,,,,,,
9,1,2026-02-10T17:54:54.538303Z,9,10.322,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.",Neutral,2026-02-10T17:54:54.538303Z
,,,,,,,
10,1,2026-02-10T17:55:04.525726Z,10,9.704,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.",Positive,2026-02-10T17:55:04.525726Z
,,,,,,,
11,1,2026-02-10T17:55:11.834139Z,11,7.019,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.",Neutral,2026-02-10T17:55:11.834139Z
,,,,,,,
12,1,2026-02-10T17:55:23.167885Z,12,11.048,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.",Neutral,2026-02-10T17:55:23.167885Z
,,,,,,,
13,1,2026-02-10T17:55:50.201290Z,13,26.758,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.",Neutral,2026-02-10T17:55:50.201290Z
,,,,,,,
14,1,2026-02-10T17:55:55.158020Z,14,4.669,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,2026-02-10T17:55:55.158020Z
,,,,,,,
15,1,2026-02-10T17:56:00.103057Z,15,4.678,I am confused about how I feel. It left me puzzled.,Neutral,2026-02-10T17:56:00.103057Z
,,,,,,,
16,1,2026-02-10T17:56:06.000026Z,16,5.604,"The direction was typical, but nothing special. Middle of the road entertainment.",Neutral,2026-02-10T17:56:06.000026Z
,,,,,,,
17,1,2026-02-10T17:56:13.591640Z,17,7.327,Total garbage. Zero stars if I could give it.,Negative,2026-02-10T17:56:13.591640Z
,,,,,,,
