"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-10T03:56:24.974688Z",1,12.682,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-10T03:56:24.974711Z"
2,"1","2026-02-10T03:57:01.261748Z",2,9.477,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-10T03:57:01.261799Z"
3,"1","2026-02-10T03:58:03.127030Z",3,9.818,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Neutral","2026-02-10T03:58:03.127053Z"
4,"1","2026-02-10T03:58:24.706767Z",4,11.193,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Neutral","2026-02-10T03:58:24.706812Z"
5,"1","2026-02-10T03:58:34.123583Z",5,7.358,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-10T03:58:34.123605Z"
6,"1","2026-02-10T03:58:46.393723Z",6,8.825,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-10T03:58:46.393747Z"
7,"1","2026-02-10T03:59:07.717726Z",7,14.778,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-10T03:59:07.717750Z"
8,"1","2026-02-10T04:01:17.029458Z",8,7.808,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-10T04:01:17.029489Z"
9,"1","2026-02-10T04:02:45.801104Z",9,5.623,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-10T04:02:45.801153Z"
10,"1","2026-02-10T04:02:53.199849Z",10,5.174,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-10T04:02:53.199871Z"
11,"1","2026-02-10T04:02:59.437984Z",11,4.445,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T04:02:59.438011Z"
12,"1","2026-02-10T04:04:44.889586Z",12,103.594,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-10T04:04:44.889614Z"
13,"1","2026-02-10T04:04:51.892930Z",13,5.239,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-10T04:04:51.892957Z"
14,"1","2026-02-10T04:04:57.220153Z",14,3.69,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-10T04:04:57.220184Z"
15,"1","2026-02-10T04:05:04.056302Z",15,3.144,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-10T04:05:04.056325Z"
16,"1","2026-02-10T04:05:13.104709Z",16,7.407,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-10T04:05:13.104760Z"
17,"1","2026-02-10T04:05:17.915654Z",17,3.274,"Total garbage. Zero stars if I could give it.","Negative","2026-02-10T04:05:17.915677Z"
18,"1","2026-02-10T04:05:29.893422Z",18,8.636,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-10T04:05:29.893474Z"
19,"1","2026-02-10T04:05:37.563952Z",19,4.554,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-10T04:05:37.563990Z"
20,"1","2026-02-10T04:05:43.162739Z",20,4.121,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-10T04:05:43.162763Z"
21,"1","2026-02-10T04:05:50.070007Z",21,4.647,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-10T04:05:50.070071Z"
22,"1","2026-02-10T04:06:11.882845Z",22,19.103,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-10T04:06:11.882940Z"
23,"1","2026-02-10T04:06:23.255998Z",23,8.869,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-10T04:06:23.256055Z"
24,"1","2026-02-10T04:06:29.050548Z",24,3.375,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-10T04:06:29.050607Z"
25,"1","2026-02-10T04:06:35.998657Z",25,4.837,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-10T04:06:35.998716Z"
26,"1","2026-02-10T04:06:42.784707Z",26,3.597,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-10T04:06:42.784776Z"
27,"1","2026-02-10T04:06:59.732924Z",27,13.538,"A refreshing take on a tired genre. Don't miss this one.","Neutral","2026-02-10T04:06:59.732982Z"
28,"1","2026-02-10T04:07:05.763784Z",28,3.504,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-10T04:07:05.763845Z"
29,"1","2026-02-10T04:07:11.534359Z",29,3.597,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-10T04:07:11.534426Z"
30,"1","2026-02-10T04:07:19.418958Z",30,4.607,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-10T04:07:19.419032Z"
31,"1","2026-02-10T04:07:35.335204Z",31,13.106,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-10T04:07:35.335258Z"
32,"1","2026-02-10T04:07:44.683070Z",32,6.405,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-10T04:07:44.683124Z"
