"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"

1,"1","2026-02-10T17:54:29.326633Z",1,10.278,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-10T17:54:29.326633Z"

2,"1","2026-02-10T17:54:45.215457Z",2,15.691,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-10T17:54:45.215457Z"

3,"1","2026-02-10T17:54:51.123156Z",3,5.687,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-10T17:54:51.123156Z"

4,"1","2026-02-10T17:54:55.322520Z",4,4.013,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-10T17:54:55.322520Z"

5,"1","2026-02-10T17:55:46.266792Z",5,50.732,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-10T17:55:46.266792Z"

6,"1","2026-02-10T17:55:50.705875Z",6,4.243,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-10T17:55:50.705875Z"

7,"1","2026-02-10T17:55:59.982419Z",7,9.096,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-10T17:55:59.982419Z"

8,"1","2026-02-10T17:56:02.898856Z",8,2.73,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-10T17:56:02.898856Z"

9,"1","2026-02-10T17:56:06.940241Z",9,3.861,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-10T17:56:06.940241Z"

10,"1","2026-02-10T17:56:10.239847Z",10,3.119,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-10T17:56:10.239847Z"

11,"1","2026-02-10T17:56:16.380481Z",11,5.973,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T17:56:16.380481Z"

12,"1","2026-02-10T17:56:19.830264Z",12,3.259,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-10T17:56:19.830264Z"

13,"1","2026-02-10T17:56:24.496514Z",13,4.503,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-10T17:56:24.496514Z"

14,"1","2026-02-10T17:56:27.804364Z",14,3.128,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-10T17:56:27.804364Z"

15,"1","2026-02-10T17:57:02.141822Z",15,34.178,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-10T17:57:02.141822Z"

16,"1","2026-02-10T17:57:08.474207Z",16,6.147,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-10T17:57:08.474207Z"

17,"1","2026-02-10T17:57:10.274039Z",17,1.619,"Total garbage. Zero stars if I could give it.","Negative","2026-02-10T17:57:10.274039Z"

18,"1","2026-02-10T17:57:40.683582Z",18,30.199,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-10T17:57:40.683582Z"

19,"1","2026-02-10T17:57:44.198156Z",19,3.352,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-10T17:57:44.198156Z"

